"Story","Title","Result","Date","Stability","Duration (s)"
"Create Complaint","As a user I can create complaint with valid credentials","SUCCESS","2023-12-20T23:19:04.51062+07:00[Asia/Jakarta]","0.0","2.5"
"Create Complaint","As a user I can not create complaint with invalid endpoint","SUCCESS","2023-12-20T23:19:07.0239009+07:00[Asia/Jakarta]","0.0","0.17"
"Create Complaint","As a user I can not create complaint with invalid ID","SUCCESS","2023-12-20T23:19:07.2019603+07:00[Asia/Jakarta]","0.0","1.82"
"Create Complaint","As a user I can not create complaint without title","SUCCESS","2023-12-20T23:19:09.0278373+07:00[Asia/Jakarta]","0.0","1.61"
"Create Complaint","As a user I can not create complaint without content","SUCCESS","2023-12-20T23:19:10.6563051+07:00[Asia/Jakarta]","0.0","2.94"
"Create Complaint","As a user I can not create complaint without attachment","SUCCESS","2023-12-20T23:19:13.6064864+07:00[Asia/Jakarta]","0.0","0.11"
"Create Complaint","As a user I can not create complaint without login","SUCCESS","2023-12-20T23:19:13.7270137+07:00[Asia/Jakarta]","0.0","0.3"
"Get All Complaint","As a user I can not get all complaint with invalid endpoint","SUCCESS","2023-12-20T23:19:14.579247+07:00[Asia/Jakarta]","0.0","0.11"
"Get Complaint By Id","As a user I can not get complaint by id with invalid endpoint","SUCCESS","2023-12-20T23:19:14.8578414+07:00[Asia/Jakarta]","0.0","0.09"
"Get Complaint By Status","As a user I can get solved complaint with valid credentials","SUCCESS","2023-12-20T23:19:14.9673729+07:00[Asia/Jakarta]","0.0","0.1"
"Get Complaint By Status","As a user I can get unsolved complaint with valid credentials","SUCCESS","2023-12-20T23:19:15.077908+07:00[Asia/Jakarta]","0.0","0.1"
"Get Complaint By Status","As a user I can not get complaint by status with invalid endpoint","SUCCESS","2023-12-20T23:19:15.1884585+07:00[Asia/Jakarta]","0.0","0.08"
